"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Early Non-Primary, Non-Secondary Syphilis","2017","California","06","7,026","21.4","NA"
"Congenital Syphilis","2019","California","06","Data not available","Data not available","NA"
"Congenital Syphilis","2018","California","06","Data not available","Data not available","NA"
"Congenital Syphilis","2017","California","06","Data not available","Data not available","NA"
"Chlamydia","2019","California","06","236,083","712.5","NA"
"Chlamydia","2018","California","06","230,712","698.9","NA"
"Chlamydia","2017","California","06","218,188","664.2","NA"
"Acute Viral Hepatitis C","2019","California","06","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","California","06","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","California","06","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","California","06","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","California","06","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","California","06","Data not available","Data not available","NA"
"AIDS prevalence","2019","California","06","70,011","211.3","NA"
"AIDS prevalence","2018","California","06","69,810","211.5","NA"
"AIDS prevalence","2017","California","06","69,692","212.2","NA"
"AIDS deaths","2019","California","06","1,371","4.1","NA"
"AIDS deaths","2018","California","06","1,413","4.3","NA"
"AIDS deaths","2017","California","06","1,434","4.4","NA"
"AIDS classifications","2019","California","06","1,830","5.5","NA"
"AIDS classifications","2018","California","06","1,800","5.5","NA"
"AIDS classifications","2017","California","06","1,924","5.9","NA"
"Receipt of HIV medical care","2019","Colorado","08","8,427","NA","67.1"
"Receipt of HIV medical care","2018","Colorado","08","8,255","NA","67.4"
"Receipt of HIV medical care","2017","Colorado","08","7,834","NA","66.6"
"Primary and Secondary Syphilis","2019","Colorado","08","485","10.0","NA"
"Primary and Secondary Syphilis","2018","Colorado","08","337","7.0","NA"
"Primary and Secondary Syphilis","2017","Colorado","08","291","6.2","NA"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","4,331","NA","17.2"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","3,429","NA","13.7"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","2,387","NA","9.4"
"Linkage to HIV care","2019","Colorado","08","385","NA","83.5"
"Linkage to HIV care","2018","Colorado","08","332","NA","83.2"
"Linkage to HIV care","2017","Colorado","08","369","NA","84.2"
"Knowledge of Status","2019","Colorado","08","12,934","NA","86.8 (82.3 - 91.9, 2.8)"
"Knowledge of Status","2018","Colorado","08","12,552","NA","86.8 (82.4 - 91.7, 2.7)"
"Knowledge of Status","2017","Colorado","08","12,106","NA","86.6 (82.2 - 91.3, 2.7)"
"Hepatitis  A","2019","Colorado","08","Data not available","Data not available","NA"
"Hepatitis  A","2018","Colorado","08","Data not available","Data not available","NA"
"Hepatitis  A","2017","Colorado","08","Data not available","Data not available","NA"
"HIV viral suppression","2019","Colorado","08","7,526","NA","59.9"
"HIV viral suppression","2018","Colorado","08","7,347","NA","59.9"
"HIV viral suppression","2017","Colorado","08","6,960","NA","59.2"
"HIV prevalence","2019","Colorado","08","13,025","267.9","NA"
"HIV prevalence","2018","Colorado","08","12,645","264.0","NA"
"HIV prevalence","2017","Colorado","08","12,187","258.9","NA"
"HIV diagnoses","2019","Colorado","08","461","9.5","NA"
"HIV diagnoses","2018","Colorado","08","402","8.4","NA"
"HIV diagnoses","2017","Colorado","08","435","9.2","NA"
"HIV deaths","2019","Colorado","08","121","2.5","NA"
"HIV deaths","2018","Colorado","08","142","3.0","NA"
"HIV deaths","2017","Colorado","08","132","2.8","NA"
"Gonorrhea","2019","Colorado","08","9,567","196.8","NA"
"Gonorrhea","2018","Colorado","08","8,892","185.7","NA"
"Gonorrhea","2017","Colorado","08","8,478","180.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Colorado","08","14,900 (14,100 - 15,700, 2.8)","306.4 (289.5 - 323.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Colorado","08","14,500 (13,700 - 15,200, 2.7)","302.0 (286.0 - 318.0)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Colorado","08","14,000 (13,300 - 14,700, 2.7)","297.1 (281.6 - 312.7)","NA"
"Estimated HIV incidence","2019","Colorado","08","510 (230 - 800, 28.2)","10.6 (4.7 - 16.4)","NA"
"Estimated HIV incidence","2018","Colorado","08","430 (210 - 650, 26.5)","9.0 (4.3 - 13.7)","NA"
"Estimated HIV incidence","2017","Colorado","08","440 (250 - 630, 22.4)","9.4 (5.2 - 13.5)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Colorado","08","453","9.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","361","7.5","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Colorado","08","281","6.0","NA"
"Congenital Syphilis","2019","Colorado","08","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Colorado","08","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Colorado","08","Data not available","Data not available","NA"
"Chlamydia","2019","Colorado","08","29,811","613.1","NA"
"Chlamydia","2018","Colorado","08","29,111","607.9","NA"
"Chlamydia","2017","Colorado","08","26,985","573.2","NA"
"Acute Viral Hepatitis C","2019","Colorado","08","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Colorado","08","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Colorado","08","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Colorado","08","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Colorado","08","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Colorado","08","Data not available","Data not available","NA"
"AIDS prevalence","2019","Colorado","08","5,552","114.2","NA"
"AIDS prevalence","2018","Colorado","08","5,429","113.4","NA"
"AIDS prevalence","2017","Colorado","08","5,310","112.8","NA"
"AIDS deaths","2019","Colorado","08","93","1.9","NA"
"AIDS deaths","2018","Colorado","08","116","2.4","NA"
"AIDS deaths","2017","Colorado","08","106","2.3","NA"
"AIDS classifications","2019","Colorado","08","209","4.3","NA"
"AIDS classifications","2018","Colorado","08","187","3.9","NA"
"AIDS classifications","2017","Colorado","08","174","3.7","NA"
"Receipt of HIV medical care","2019","Connecticut","09","8,361","NA","80.5"
"Receipt of HIV medical care","2018","Connecticut","09","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Connecticut","09","8,153","NA","81.0"
"Primary and Secondary Syphilis","2019","Connecticut","09","208","6.8","NA"
"Primary and Secondary Syphilis","2018","Connecticut","09","91","3.0","NA"
"Primary and Secondary Syphilis","2017","Connecticut","09","109","3.6","NA"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","2,660","NA","27.8"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","2,273","NA","23.8"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","1,576","NA","14.4"
"Linkage to HIV care","2019","Connecticut","09","186","NA","87.3"
"Linkage to HIV care","2018","Connecticut","09","Data not available","NA","Data not available"
"Linkage to HIV care","2017","Connecticut","09","229","NA","83.6"
"Knowledge of Status","2019","Connecticut","09","10,412","NA","91.1 (85.5 - 97.4, 3.3)"
"Knowledge of Status","2018","Connecticut","09","10,284","NA","90.6 (85.1 - 96.8, 3.3)"
"Knowledge of Status","2017","Connecticut","09","10,144","NA","89.9 (84.6 - 95.9, 3.2)"
"Hepatitis  A","2019","Connecticut","09","Data not available","Data not available","NA"
"Hepatitis  A","2018","Connecticut","09","Data not available","Data not available","NA"
"Hepatitis  A","2017","Connecticut","09","Data not available","Data not available","NA"
"HIV viral suppression","2019","Connecticut","09","7,059","NA","68.0"
"HIV viral suppression","2018","Connecticut","09","Data not available","NA","Data not available"
"HIV viral suppression","2017","Connecticut","09","6,729","NA","66.9"
"HIV prevalence","2019","Connecticut","09","10,597","346.0","NA"
"HIV prevalence","2018","Connecticut","09","10,470","341.7","NA"
"HIV prevalence","2017","Connecticut","09","10,325","337.4","NA"
"HIV diagnoses","2019","Connecticut","09","213","7.0","NA"
"HIV diagnoses","2018","Connecticut","09","259","8.5","NA"
"HIV diagnoses","2017","Connecticut","09","274","9.0","NA"
"HIV deaths","2019","Connecticut","09","202","6.6","NA"
"HIV deaths","2018","Connecticut","09","183","6.0","NA"
"HIV deaths","2017","Connecticut","09","199","6.5","NA"
"Gonorrhea","2019","Connecticut","09","4,407","143.9","NA"
"Gonorrhea","2018","Connecticut","09","4,945","161.4","NA"
"Gonorrhea","2017","Connecticut","09","3,904","127.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Connecticut","09","11,400 (10,700 - 12,200, 3.3)","373.3 (349.0 - 397.6)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Connecticut","09","11,400 (10,600 - 12,100, 3.3)","370.7 (346.9 - 394.4)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Connecticut","09","11,300 (10,600 - 12,000, 3.2)","368.8 (345.5 - 392.0)","NA"
"Estimated HIV incidence","2019","Connecticut","09","160 (0 - 320, 49.4*)","5.3 (0.2 - 10.4)","NA"
"Estimated HIV incidence","2018","Connecticut","09","190 (40 - 340, 39.4*)","6.2 (1.4 - 10.9)","NA"
"Estimated HIV incidence","2017","Connecticut","09","250 (110 - 380, 28.6)","8.0 (3.5 - 12.6)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Connecticut","09","159","5.2","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","77","2.5","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Connecticut","09","145","4.7","NA"
"Congenital Syphilis","2019","Connecticut","09","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Connecticut","09","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Connecticut","09","Data not available","Data not available","NA"
"Chlamydia","2019","Connecticut","09","15,247","497.8","NA"
"Chlamydia","2018","Connecticut","09","16,685","544.6","NA"
"Chlamydia","2017","Connecticut","09","17,685","577.9","NA"
"Acute Viral Hepatitis C","2019","Connecticut","09","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Connecticut","09","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Connecticut","09","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Connecticut","09","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Connecticut","09","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Connecticut","09","Data not available","Data not available","NA"
"AIDS prevalence","2019","Connecticut","09","6,350","207.3","NA"
"AIDS prevalence","2018","Connecticut","09","6,353","207.4","NA"
"AIDS prevalence","2017","Connecticut","09","6,348","207.4","NA"
"AIDS deaths","2019","Connecticut","09","167","5.5","NA"
"AIDS deaths","2018","Connecticut","09","147","4.8","NA"
"AIDS deaths","2017","Connecticut","09","160","5.2","NA"
"AIDS classifications","2019","Connecticut","09","126","4.1","NA"
"AIDS classifications","2018","Connecticut","09","141","4.6","NA"
"AIDS classifications","2017","Connecticut","09","128","4.2","NA"
"Receipt of HIV medical care","2019","Delaware","10","2,749","NA","83.7"
"Receipt of HIV medical care","2018","Delaware","10","2,651","NA","82.2"
"Receipt of HIV medical care","2017","Delaware","10","2,530","NA","80.0"
"Primary and Secondary Syphilis","2019","Delaware","10","94","11.3","NA"
"Primary and Secondary Syphilis","2018","Delaware","10","30","3.7","NA"
"Primary and Secondary Syphilis","2017","Delaware","10","57","7.0","NA"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","474","NA","10.8"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","420","NA","9.5"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","280","NA","5.8"
"Linkage to HIV care","2019","Delaware","10","71","NA","76.3"
"Linkage to HIV care","2018","Delaware","10","74","NA","80.4"
"Linkage to HIV care","2017","Delaware","10","108","NA","85.7"
"Knowledge of Status","2019","Delaware","10","3,332","NA","89.2 (80.2 - 100.0, 5.7)"
"Knowledge of Status","2018","Delaware","10","3,246","NA","88.7 (79.8 - 99.8, 5.8)"
"Knowledge of Status","2017","Delaware","10","3,219","NA","88.4 (79.8 - 99.2, 5.6)"
"Hepatitis  A","2019","Delaware","10","Data not available","Data not available","NA"
"Hepatitis  A","2018","Delaware","10","Data not available","Data not available","NA"
"Hepatitis  A","2017","Delaware","10","Data not available","Data not available","NA"
"HIV viral suppression","2019","Delaware","10","2,456","NA","74.7"
"HIV viral suppression","2018","Delaware","10","2,343","NA","72.6"
"HIV viral suppression","2017","Delaware","10","2,145","NA","67.8"
"HIV prevalence","2019","Delaware","10","3,381","408.2","NA"
"HIV prevalence","2018","Delaware","10","3,292","401.7","NA"
"HIV prevalence","2017","Delaware","10","3,265","402.6","NA"
"HIV diagnoses","2019","Delaware","10","93","11.2","NA"
"HIV diagnoses","2018","Delaware","10","91","11.1","NA"
"HIV diagnoses","2017","Delaware","10","126","15.5","NA"
"HIV deaths","2019","Delaware","10","67","8.1","NA"
"HIV deaths","2018","Delaware","10","68","8.3","NA"
"HIV deaths","2017","Delaware","10","67","8.3","NA"
"Gonorrhea","2019","Delaware","10","1,613","194.7","NA"
"Gonorrhea","2018","Delaware","10","1,689","206.1","NA"
"Gonorrhea","2017","Delaware","10","1,783","219.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Delaware","10","3,700 (3,300 - 4,200, 5.7)","451.1 (402.3 - 501.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Delaware","10","3,700 (3,300 - 4,100, 5.7)","446.6 (397.0 - 496.2)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Delaware","10","3,600 (3,200 - 4,000, 5.5)","448.8 (400.1 - 497.6)","NA"
"Estimated HIV incidence","2019","Delaware","10","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Delaware","10","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Delaware","10","120 (30 - 210, 36.8*)","14.9 (4.1 - 25.7)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Delaware","10","65","7.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","36","4.4","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Delaware","10","49","6.0","NA"
"Congenital Syphilis","2019","Delaware","10","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Delaware","10","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Delaware","10","Data not available","Data not available","NA"
"Chlamydia","2019","Delaware","10","5,854","706.8","NA"
"Chlamydia","2018","Delaware","10","6,019","734.4","NA"
"Chlamydia","2017","Delaware","10","5,391","664.7","NA"
"Acute Viral Hepatitis C","2019","Delaware","10","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Delaware","10","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Delaware","10","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Delaware","10","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Delaware","10","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Delaware","10","Data not available","Data not available","NA"
"AIDS prevalence","2019","Delaware","10","2,012","242.9","NA"
"AIDS prevalence","2018","Delaware","10","1,981","241.7","NA"
"AIDS prevalence","2017","Delaware","10","1,991","245.5","NA"
"AIDS deaths","2019","Delaware","10","53","6.4","NA"
"AIDS deaths","2018","Delaware","10","54","6.6","NA"
"AIDS deaths","2017","Delaware","10","58","7.2","NA"
"AIDS classifications","2019","Delaware","10","51","6.2","NA"
"AIDS classifications","2018","Delaware","10","54","6.6","NA"
"AIDS classifications","2017","Delaware","10","58","7.2","NA"
"Receipt of HIV medical care","2019","District of Columbia","11","9,463","NA","68.7"
"Receipt of HIV medical care","2018","District of Columbia","11","9,351","NA","67.2"
"Receipt of HIV medical care","2017","District of Columbia","11","9,559","NA","68.4"
"Primary and Secondary Syphilis","2019","District of Columbia","11","308","51.0","NA"
"Primary and Secondary Syphilis","2018","District of Columbia","11","279","46.4","NA"
"Primary and Secondary Syphilis","2017","District of Columbia","11","274","45.9","NA"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","5,801","NA","44.8"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","5,003","NA","38.6"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","3,805","NA","27.8"
"Linkage to HIV care","2019","District of Columbia","11","210","NA","82.4"
"Linkage to HIV care","2018","District of Columbia","11","231","NA","84.0"
"Linkage to HIV care","2017","District of Columbia","11","249","NA","79.6"
"Knowledge of Status","2019","District of Columbia","11","13,913","NA","94.0 (88.9 - 99.7, 2.9)"
"Knowledge of Status","2018","District of Columbia","11","13,940","NA","93.6 (88.7 - 99.1, 2.8)"
"Knowledge of Status","2017","District of Columbia","11","14,066","NA","93.3 (88.5 - 98.7, 2.8)"
"Hepatitis  A","2019","District of Columbia","11","Data not available","Data not available","NA"
"Hepatitis  A","2018","District of Columbia","11","Data not available","Data not available","NA"
"Hepatitis  A","2017","District of Columbia","11","Data not available","Data not available","NA"
"HIV viral suppression","2019","District of Columbia","11","8,082","NA","58.7"
"HIV viral suppression","2018","District of Columbia","11","7,778","NA","55.9"
"HIV viral suppression","2017","District of Columbia","11","7,821","NA","56.0"
"HIV prevalence","2019","District of Columbia","11","14,041","2325.4","NA"
"HIV prevalence","2018","District of Columbia","11","14,068","2340.6","NA"
"HIV prevalence","2017","District of Columbia","11","14,199","2381.1","NA"
"HIV diagnoses","2019","District of Columbia","11","255","42.2","NA"
"HIV diagnoses","2018","District of Columbia","11","281","46.8","NA"
"HIV diagnoses","2017","District of Columbia","11","316","53.0","NA"
"HIV deaths","2019","District of Columbia","11","184","30.5","NA"
"HIV deaths","2018","District of Columbia","11","200","33.3","NA"
"HIV deaths","2017","District of Columbia","11","237","39.7","NA"
"Gonorrhea","2019","District of Columbia","11","4,370","723.7","NA"
"Gonorrhea","2018","District of Columbia","11","4,229","703.6","NA"
"Gonorrhea","2017","District of Columbia","11","4,546","762.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","District of Columbia","11","14,800 (14,000 - 15,600, 2.9)","2451.2 (2311.5 - 2590.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","District of Columbia","11","14,900 (14,100 - 15,700, 2.8)","2477.7 (2339.6 - 2615.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","District of Columbia","11","15,100 (14,300 - 15,900, 2.8)","2526.9 (2389.8 - 2664.1)","NA"
"Estimated HIV incidence","2019","District of Columbia","11","190 (50 - 330, 38.2*)","31.5 (7.9 - 55.2)","NA"
"Estimated HIV incidence","2018","District of Columbia","11","230 (100 - 370, 29.9)","38.3 (15.9 - 60.8)","NA"
"Estimated HIV incidence","2017","District of Columbia","11","210 (90 - 330, 29.7)","35.5 (14.8 - 56.2)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","District of Columbia","11","414","68.6","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","335","55.7","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","District of Columbia","11","341","57.2","NA"
"Congenital Syphilis","2019","District of Columbia","11","Data not available","Data not available","NA"
"Congenital Syphilis","2018","District of Columbia","11","Data not available","Data not available","NA"
"Congenital Syphilis","2017","District of Columbia","11","Data not available","Data not available","NA"
"Chlamydia","2019","District of Columbia","11","9,278","1536.6","NA"
"Chlamydia","2018","District of Columbia","11","8,943","1487.9","NA"
"Chlamydia","2017","District of Columbia","11","9,057","1518.8","NA"
"Acute Viral Hepatitis C","2019","District of Columbia","11","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","District of Columbia","11","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","District of Columbia","11","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","District of Columbia","11","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","District of Columbia","11","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","District of Columbia","11","Data not available","Data not available","NA"
"AIDS prevalence","2019","District of Columbia","11","7,450","1233.9","NA"
"AIDS prevalence","2018","District of Columbia","11","7,521","1251.3","NA"
"AIDS prevalence","2017","District of Columbia","11","7,511","1259.6","NA"
"AIDS deaths","2019","District of Columbia","11","132","21.9","NA"
"AIDS deaths","2018","District of Columbia","11","154","25.6","NA"
"AIDS deaths","2017","District of Columbia","11","164","27.5","NA"
"AIDS classifications","2019","District of Columbia","11","120","19.9","NA"
"AIDS classifications","2018","District of Columbia","11","261","43.4","NA"
"AIDS classifications","2017","District of Columbia","11","140","23.5","NA"
"Receipt of HIV medical care","2019","Florida","12","84,213","NA","77.1"
"Receipt of HIV medical care","2018","Florida","12","81,392","NA","76.5"
"Receipt of HIV medical care","2017","Florida","12","78,384","NA","75.2"
"Primary and Secondary Syphilis","2019","Florida","12","Data suppressed","Data suppressed","NA"
